Indicator Name,Income,Cost of Goods Sold,Gross Profit ,Total Operating Expenses  ,Operating Profit (EBIT),Taxes    ,Net Profit   ,Net Profit Margin %,Expenses
01/01/2024,450100,125000,325100,175100,150000,80000,70000,16.00%,300100
01/02/2024,480000,125900,354100,180000,174100,100000,74100,15.00%,305900
01/03/2024,430000,125500,304500,178500,126000,96200,29800,7.00%,304000
01/04/2024,510000,125200,384800,172200,212600,77700,134900,26.00%,297400
01/05/2024,480000,123500,356500,174400,182100,100100,82000,17.00%,297900
01/06/2024,520000,124200,395800,175100,220700,75000,145700,28.00%,299300
01/07/2024,510000,122600,387400,179400,208000,99900,108100,21.00%,302000
01/08/2024,410000,123700,286300,185000,101300,88800,12500,3.00%,308700
01/09/2024,520000,126200,393800,200200,193600,91100,102500,20.00%,326400
01/10/2024,518400,120100,398300,173800,224500,78100,146400,28.00%,293900
01/11/2024,480000,123600,356400,155800,200600,87400,113200,24.00%,279400
01/12/2024,462500,122400,340100,144400,195700,98000,97700,21.00%,266800
01/01/2025,348177,118121,264298,148399,132955,81806,51149,15.00%,266520
01/02/2025,370679,149832,299875,152732,188038,105587,82451,22.00%,302564
01/03/2025,526131,104616,315619,141208,101530,98993,2537,0.00%,245825
01/04/2025,451688,146855,395128,184993,217387,73479,143908,32.00%,331848
01/05/2025,518123,124480,340398,134517,209781,115456,94325,18.00%,258997
01/06/2025,421340,144299,444266,215834,233564,80751,152813,36.00%,360133
01/07/2025,418987,110787,338985,137325,220724,78774,141950,34.00%,248111
01/08/2025,429475,97459,299714,229538,99236,76564,22672,5.00%,326997
01/09/2025,621111,136596,410457,213072,162820,70610,92210,15.00%,349668
01/10/2025,572141,91349,345349,180490,237767,93038,144728,25.00%,271839
01/11/2025,409391,125804,289145,157268,244375,80342,164033,40.00%,283072
01/12/2025,404711,139703,420179,138002,161672,96314,65358,16.00%,277706
