Respondent's ID,Gender,Age Group,Highest Qualifications,Employment Status,Income Level,Country,Q1,Q2a,Q2b,Q2c,Q2d,Q2e,Q3a,Q3b,Q3c,Q3d,Q3e,Q4a,Q4b,Q4c,Q4d,Q4e,Q4f,Q4g,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6a,Q6b,Q6c,Q6d,Q6e
1,Male,21-24,Certificate,Self-employed,$20k-$44K,Indonesia,Newsletter,No,Yes,Yes,Yes,Yes,Dissatisfied,Dissatisfied,Dissatisfied,Highly satisfied,Satisfied,Neutral,Highly satisfied,Highly satisfied,Highly dissatisfied,Highly satisfied,Neutral,Dissatisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,,,7,4,8,10,10
2,Female,41+,Master's Degree,Employed,Less than $20K,Mongolia,Facebook,No,Yes,Yes,No,No,Highly dissatisfied,Dissatisfied,Highly dissatisfied,Highly satisfied,Highly dissatisfied,Highly dissatisfied,Highly dissatisfied,Highly dissatisfied,Highly dissatisfied,Satisfied,Highly satisfied,Neutral,,,Weekly online calls,Tableau project examples,Normal class discussions,Trainer's feedback through comments,2,10,2,9,10
3,Female,21-24,Certificate,Employed,$20k-$44K,China,Through Ads,Yes,Yes,No,Yes,No,Dissatisfied,Satisfied,Dissatisfied,Highly dissatisfied,Highly dissatisfied,Highly satisfied,Dissatisfied,Dissatisfied,Highly satisfied,Highly satisfied,Highly satisfied,Highly satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,,Normal class discussions,,7,9,5,8,10
4,Male,15-20,Certificate,Employed,$20k-$44K,Portugal,Facebook,No,No,Yes,Yes,Yes,Satisfied,Highly dissatisfied,Highly dissatisfied,Neutral,Highly satisfied,Neutral,Highly satisfied,Highly satisfied,Highly dissatisfied,Neutral,Dissatisfied,Satisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,9,9,4,9,10
5,Male,31-34,Certificate,Self-employed,$20k-$44K,United States,Through Ads,Yes,Yes,No,No,Yes,Satisfied,Dissatisfied,Highly satisfied,Highly dissatisfied,Neutral,Neutral,Highly satisfied,Highly satisfied,Highly satisfied,Highly dissatisfied,Neutral,Highly dissatisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,Normal class discussions,,4,9,3,7,10
6,Female,21-24,Diploma,Employed,$150K-$199K,Japan,LinkedIn,No,No,No,Yes,No,Neutral,Highly satisfied,Highly dissatisfied,Highly satisfied,Highly satisfied,Neutral,Neutral,Satisfied,Satisfied,Neutral,Highly dissatisfied,Highly dissatisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,Tableau project examples,,,10,9,10,9,8
7,Male,15-20,Certificate,Student,Less than $20K,Nigeria,Website,Yes,No,Yes,Yes,No,Highly satisfied,Highly dissatisfied,Highly satisfied,Neutral,Dissatisfied,Dissatisfied,Highly satisfied,Highly satisfied,Neutral,Neutral,Highly satisfied,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,7,9,1,9,10
8,Male,41+,Certificate,Un-employed,Less than $20K,Colombia,Through Ads,Yes,Yes,Yes,No,No,Dissatisfied,Highly satisfied,Dissatisfied,Neutral,Satisfied,Highly dissatisfied,Neutral,Satisfied,Satisfied,Neutral,Dissatisfied,Satisfied,Quizzes & Solutions,,,Tableau project examples,,,1,9,8,9,10
9,Female,31-34,Degree,Employed,Less than $20K,Mongolia,Through Ads,Yes,Yes,Yes,Yes,No,Highly dissatisfied,Dissatisfied,Highly satisfied,Highly satisfied,Dissatisfied,Satisfied,Dissatisfied,Neutral,Dissatisfied,Highly satisfied,Highly satisfied,Dissatisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,1,10,10,9,10
10,Female,21-24,Degree,Self-employed,Less than $20K,Malaysia,Through Ads,Yes,Yes,Yes,No,Yes,Dissatisfied,Neutral,Highly satisfied,Dissatisfied,Satisfied,Dissatisfied,Neutral,Highly dissatisfied,Dissatisfied,Satisfied,Highly satisfied,Dissatisfied,Quizzes & Solutions,Mock Exam,Weekly online calls,,Normal class discussions,,7,9,8,9,8
11,Female,15-20,Master's Degree,Un-employed,Less than $20K,Mexico,Newsletter,Yes,Yes,Yes,Yes,No,Dissatisfied,Highly satisfied,Highly dissatisfied,Neutral,Highly satisfied,Satisfied,Dissatisfied,Neutral,Highly satisfied,Highly dissatisfied,Dissatisfied,Neutral,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,10,7,8,10,10
12,Female,41+,PHD,Self-employed,Less than $20K,United States,Facebook,Yes,Yes,No,Yes,Yes,Neutral,Neutral,Neutral,Highly dissatisfied,Highly satisfied,Highly dissatisfied,Highly dissatisfied,Highly dissatisfied,Highly dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Quizzes & Solutions,,Weekly online calls,Tableau project examples,Normal class discussions,,8,8,8,9,10
